"region","id","group","counts"
"M2C",32,"Sham_Familiar",202.194093348399
"M2C",37,"Sham_Familiar",626.913472648288
"M2C",40,"Sham_Familiar",745.428030668457
"M2C",6,"Sham_Novel",270.529475578504
"M2C",9,"Sham_Novel",506.451956246352
"M2C",12,"Sham_Novel",452.365813927855
"M2C",18,"Sham_Novel",629.154780650934
"M2C",20,"Sham_Novel",268.375957609799
"M2C",25,"Sham_Novel",498.22499820029
"M2C",26,"Sham_Novel",334.816107567627
"M2C",33,"Sham_Novel",456.206297456449
"M2C",36,"Sham_Novel",362.733734041335
"MOC",8,"Lesion_Familiar",330.421121792089
"MOC",13,"Lesion_Familiar",384.090631120418
"MOC",22,"Lesion_Familiar",900.387102346564
"MOC",23,"Lesion_Familiar",543.39887214885
"MOC",29,"Lesion_Familiar",519.064018601837
"MOC",31,"Lesion_Familiar",483.757194870691
"MOC",38,"Lesion_Familiar",716.27023295674
"MOC",39,"Lesion_Familiar",591.63870370228
"MOC",1,"Lesion_Novel",313.706120184134
"MOC",5,"Lesion_Novel",426.337890993378
"MOC",10,"Lesion_Novel",470.434054766084
"MOC",19,"Lesion_Novel",421.037063223866
"MOC",27,"Lesion_Novel",635.759622602714
"MOC",28,"Lesion_Novel",1088.30437744729
"MOC",34,"Lesion_Novel",433.316832975788
"MOC",35,"Lesion_Novel",389.823969275581
"MOC",7,"Sham_Familiar",548.524762194996
"MOC",15,"Sham_Familiar",367.799752790757
"MOC",16,"Sham_Familiar",349.950067777568
"MOC",21,"Sham_Familiar",205.223196392573
"MOC",24,"Sham_Familiar",556.494794266666
"MOC",30,"Sham_Familiar",855.328501202296
"MOC",32,"Sham_Familiar",639.88658893709
"MOC",37,"Sham_Familiar",444.120214146829
"MOC",40,"Sham_Familiar",805.317304317345
"MOC",6,"Sham_Novel",321.552525345138
"MOC",9,"Sham_Novel",516.054563326618
"MOC",18,"Sham_Novel",379.097330456062
"MOC",20,"Sham_Novel",413.359284192283
"MOC",25,"Sham_Novel",563.466214554142
"MOC",26,"Sham_Novel",981.234984315475
"MOC",33,"Sham_Novel",424.981211030885
"MOC",36,"Sham_Novel",510.780178930563
"PRH",3,"Lesion_Familiar",329.262619221184
"PRH",8,"Lesion_Familiar",228.58835806308
"PRH",13,"Lesion_Familiar",188.573183474975
"PRH",14,"Lesion_Familiar",294.063765953993
"PRH",22,"Lesion_Familiar",574.519910899637
"PRH",29,"Lesion_Familiar",384.716016958109
"PRH",31,"Lesion_Familiar",317.629968270753
"PRH",38,"Lesion_Familiar",370.732423743638
"PRH",39,"Lesion_Familiar",414.854975748215
"PRH",1,"Lesion_Novel",385.800529760434
"PRH",5,"Lesion_Novel",238.941970156246
"PRH",10,"Lesion_Novel",217.022045423689
"PRH",11,"Lesion_Novel",154.564035556745
"PRH",19,"Lesion_Novel",225.344460926637
"PRH",27,"Lesion_Novel",349.978447328491
"PRH",28,"Lesion_Novel",542.433702092361
"PRH",34,"Lesion_Novel",450.106612836742
"PRH",4,"Sham_Familiar",68.4794981699797
"PRH",7,"Sham_Familiar",464.956461113688
"PRH",15,"Sham_Familiar",193.674041723185
"PRH",16,"Sham_Familiar",300.713243676892
"PRH",21,"Sham_Familiar",269.525799105485
"PRH",30,"Sham_Familiar",358.195906287419
"PRH",32,"Sham_Familiar",233.042668918947
"PRH",37,"Sham_Familiar",523.404523660715
"PRH",40,"Sham_Familiar",451.55339278741
"PRH",2,"Sham_Novel",473.262269445193
"PRH",6,"Sham_Novel",231.925614967049
"PRH",9,"Sham_Novel",296.5910504379
"PRH",12,"Sham_Novel",367.277631602788
"PRH",18,"Sham_Novel",537.945676952433
"PRH",20,"Sham_Novel",252.540126836121
"PRH",25,"Sham_Novel",811.843869941242
"PRH",26,"Sham_Novel",524.420884033495
"PRH",33,"Sham_Novel",383.520117585419
"PRH",36,"Sham_Novel",301.930714019583
"PRL",3,"Lesion_Familiar",780.865575936415
"PRL",8,"Lesion_Familiar",337.119681620665
"PRL",13,"Lesion_Familiar",353.508608546596
"PRL",14,"Lesion_Familiar",449.759444339476
"PRL",22,"Lesion_Familiar",618.762658922493
"PRL",23,"Lesion_Familiar",592.433096951339
"PRL",29,"Lesion_Familiar",429.237506231367
"PRL",31,"Lesion_Familiar",494.598536053817
"PRL",38,"Lesion_Familiar",724.941115778622
"PRL",39,"Lesion_Familiar",613.068444228278
"PRL",1,"Lesion_Novel",482.294358722979
"PRL",5,"Lesion_Novel",418.531464343398
"PRL",10,"Lesion_Novel",377.376581643499
"PRL",11,"Lesion_Novel",419.857088264395
"PRL",19,"Lesion_Novel",315.356846542581
"PRL",27,"Lesion_Novel",627.87188914619
"PRL",28,"Lesion_Novel",998.250153209197
"PRL",34,"Lesion_Novel",380.05670870615
"PRL",35,"Lesion_Novel",365.439251379224
"PRL",4,"Sham_Familiar",368.336349522197
"PRL",7,"Sham_Familiar",613.777687490866
"PRL",15,"Sham_Familiar",330.369252978506
"PRL",16,"Sham_Familiar",347.840738624776
"PRL",21,"Sham_Familiar",254.012664320706
"PRL",24,"Sham_Familiar",473.148098882318
"PRL",30,"Sham_Familiar",806.206717424137
"PRL",32,"Sham_Familiar",513.122009949688
"PRL",37,"Sham_Familiar",461.10208912518
"PRL",40,"Sham_Familiar",763.860505299333
"PRL",6,"Sham_Novel",335.093414317692
"PRL",9,"Sham_Novel",479.473458026134
"PRL",12,"Sham_Novel",601.355342233604
"PRL",18,"Sham_Novel",359.181085271289
"PRL",20,"Sham_Novel",385.825546196085
"PRL",25,"Sham_Novel",727.02478617972
"PRL",26,"Sham_Novel",730.220717362625
"PRL",33,"Sham_Novel",422.739127245751
"PRL",36,"Sham_Novel",504.359850230261
"PSTC",3,"Lesion_Familiar",372.200082982828
"PSTC",8,"Lesion_Familiar",215.967895812171
"PSTC",13,"Lesion_Familiar",280.453696472653
"PSTC",14,"Lesion_Familiar",289.211770623301
"PSTC",22,"Lesion_Familiar",570.671024772874
"PSTC",29,"Lesion_Familiar",376.520063731803
"PSTC",31,"Lesion_Familiar",275.801773915554
"PSTC",38,"Lesion_Familiar",711.992447120526
"PSTC",39,"Lesion_Familiar",382.956826908142
"PSTC",1,"Lesion_Novel",367.901123558332
"PSTC",5,"Lesion_Novel",301.951841142265
"PSTC",10,"Lesion_Novel",273.620439595701
"PSTC",11,"Lesion_Novel",184.275257994764
"PSTC",19,"Lesion_Novel",259.866894716615
"PSTC",27,"Lesion_Novel",246.240764737692
"PSTC",28,"Lesion_Novel",658.774205170029
"PSTC",34,"Lesion_Novel",424.46813132536
"PSTC",35,"Lesion_Novel",234.547529415553
"PSTC",7,"Sham_Familiar",409.235702895027
"PSTC",15,"Sham_Familiar",233.329493472084
"PSTC",16,"Sham_Familiar",244.692938445618
"PSTC",24,"Sham_Familiar",425.161690747157
"PSTC",30,"Sham_Familiar",452.737215753569
"PSTC",32,"Sham_Familiar",352.040009832806
"PSTC",37,"Sham_Familiar",471.27723124931
"PSTC",40,"Sham_Familiar",360.88063360209
"PSTC",6,"Sham_Novel",277.237758225612
"PSTC",9,"Sham_Novel",245.086509054392
"PSTC",12,"Sham_Novel",354.509456825246
"PSTC",20,"Sham_Novel",198.73960440324
"PSTC",25,"Sham_Novel",441.644168756188
"PSTC",26,"Sham_Novel",591.534577492586
"PSTC",33,"Sham_Novel",248.125684489741
"PSTC",36,"Sham_Novel",279.511642616341
"TE2",3,"Lesion_Familiar",282.645290721132
"TE2",8,"Lesion_Familiar",187.456470102917
"TE2",13,"Lesion_Familiar",198.834165301168
"TE2",14,"Lesion_Familiar",239.522616952916
"TE2",22,"Lesion_Familiar",412.43598501861
"TE2",29,"Lesion_Familiar",420.366464332242
"TE2",31,"Lesion_Familiar",280.068370418993
"TE2",38,"Lesion_Familiar",325.086200052468
"TE2",39,"Lesion_Familiar",415.231086359809
"TE2",1,"Lesion_Novel",405.160163017684
"TE2",5,"Lesion_Novel",276.935329674728
"TE2",10,"Lesion_Novel",166.889339092661
"TE2",11,"Lesion_Novel",156.503278333156
"TE2",19,"Lesion_Novel",210.665817374491
"TE2",27,"Lesion_Novel",388.242353718964
"TE2",28,"Lesion_Novel",529.515494022898
"TE2",34,"Lesion_Novel",365.581347956131
"TE2",35,"Lesion_Novel",175.218268676001
"TE2",4,"Sham_Familiar",46.5908011916984
"TE2",7,"Sham_Familiar",438.357167848929
"TE2",15,"Sham_Familiar",171.423953973144
"TE2",16,"Sham_Familiar",183.719635454494
"TE2",21,"Sham_Familiar",167.104781460657
"TE2",24,"Sham_Familiar",130.582291177744
"TE2",30,"Sham_Familiar",303.124978743875
"TE2",32,"Sham_Familiar",334.003709347267
"TE2",37,"Sham_Familiar",263.487185311748
"TE2",40,"Sham_Familiar",304.823526078815
"TE2",2,"Sham_Novel",442.048173795884
"TE2",6,"Sham_Novel",259.581074187077
"TE2",9,"Sham_Novel",211.057924855424
"TE2",12,"Sham_Novel",416.636746128122
"TE2",18,"Sham_Novel",670.746680901691
"TE2",20,"Sham_Novel",166.397175397506
"TE2",25,"Sham_Novel",643.446824712096
"TE2",26,"Sham_Novel",512.744057249786
"TE2",33,"Sham_Novel",448.764644333493
"TE2",36,"Sham_Novel",225.784553471386
"V2C",3,"Lesion_Familiar",1009.57046141724
"V2C",8,"Lesion_Familiar",449.037276844571
"V2C",14,"Lesion_Familiar",973.921204072226
"V2C",22,"Lesion_Familiar",1172.05275905922
"V2C",29,"Lesion_Familiar",655.68329680948
"V2C",31,"Lesion_Familiar",552.976585661419
"V2C",38,"Lesion_Familiar",703.295759641149
"V2C",39,"Lesion_Familiar",1195.27288093965
"V2C",1,"Lesion_Novel",515.807768536674
"V2C",5,"Lesion_Novel",691.814253937342
"V2C",10,"Lesion_Novel",615.385382202638
"V2C",11,"Lesion_Novel",866.56289895096
"V2C",19,"Lesion_Novel",666.292250534498
"V2C",27,"Lesion_Novel",1033.68578527306
"V2C",28,"Lesion_Novel",971.797941092055
"V2C",34,"Lesion_Novel",724.773169871603
"V2C",35,"Lesion_Novel",388.687343292508
"V2C",4,"Sham_Familiar",243.585640793375
"V2C",7,"Sham_Familiar",880.327319097306
"V2C",15,"Sham_Familiar",455.434174237375
"V2C",16,"Sham_Familiar",578.548240067221
"V2C",24,"Sham_Familiar",451.868260353578
"V2C",30,"Sham_Familiar",1028.57986056442
"V2C",32,"Sham_Familiar",770.427651188867
"V2C",37,"Sham_Familiar",489.084295260055
"V2C",40,"Sham_Familiar",1040.21486630091
"V2C",2,"Sham_Novel",445.060241486882
"V2C",6,"Sham_Novel",639.808513840114
"V2C",9,"Sham_Novel",683.101984292546
"V2C",18,"Sham_Novel",1202.91011544074
"V2C",20,"Sham_Novel",496.754675362705
"V2C",25,"Sham_Novel",873.766063221628
"V2C",26,"Sham_Novel",1184.5296448349
"V2C",36,"Sham_Novel",642.49807054027
"VCA1",3,"Lesion_Familiar",500.20367582133
"VCA1",8,"Lesion_Familiar",315.924605946275
"VCA1",13,"Lesion_Familiar",252.745569671107
"VCA1",14,"Lesion_Familiar",291.006158449494
"VCA1",22,"Lesion_Familiar",400.698649007068
"VCA1",29,"Lesion_Familiar",150.33025006454
"VCA1",31,"Lesion_Familiar",137.145702231972
"VCA1",38,"Lesion_Familiar",232.095244334685
"VCA1",39,"Lesion_Familiar",283.575978797992
"VCA1",1,"Lesion_Novel",260.898305962854
"VCA1",5,"Lesion_Novel",289.777272923368
"VCA1",10,"Lesion_Novel",241.807311669643
"VCA1",11,"Lesion_Novel",267.740041201998
"VCA1",19,"Lesion_Novel",141.990061666065
"VCA1",28,"Lesion_Novel",276.001340838855
"VCA1",35,"Lesion_Novel",390.332138648359
"VCA1",7,"Sham_Familiar",293.992077799577
"VCA1",16,"Sham_Familiar",224.677837260493
"VCA1",30,"Sham_Familiar",161.638555325823
"VCA1",32,"Sham_Familiar",179.418974309619
"VCA1",37,"Sham_Familiar",161.698520551369
"VCA1",40,"Sham_Familiar",304.823299107192
"VCA1",2,"Sham_Novel",549.723753917048
"VCA1",6,"Sham_Novel",207.815947982145
"VCA1",9,"Sham_Novel",304.753469452165
"VCA1",18,"Sham_Novel",811.932292839561
"VCA1",20,"Sham_Novel",140.731422514361
"VCA1",26,"Sham_Novel",311.757292422756
"VCA1",36,"Sham_Novel",210.408983197727
"VCA3",3,"Lesion_Familiar",418.449411624241
"VCA3",8,"Lesion_Familiar",175.140926996047
"VCA3",13,"Lesion_Familiar",152.610744254738
"VCA3",14,"Lesion_Familiar",238.667113113615
"VCA3",22,"Lesion_Familiar",334.365204122827
"VCA3",39,"Lesion_Familiar",223.880597014925
"VCA3",1,"Lesion_Novel",334.550342992103
"VCA3",5,"Lesion_Novel",238.329851000497
"VCA3",10,"Lesion_Novel",149.378191875471
"VCA3",11,"Lesion_Novel",215.138175527425
"VCA3",19,"Lesion_Novel",117.462774004238
"VCA3",28,"Lesion_Novel",338.20260400127
"VCA3",34,"Lesion_Novel",98.3341055672414
"VCA3",7,"Sham_Familiar",256.006255353818
"VCA3",15,"Sham_Familiar",103.78681564456
"VCA3",16,"Sham_Familiar",177.396843193754
"VCA3",24,"Sham_Familiar",176.582847756056
"VCA3",30,"Sham_Familiar",192.826042521004
"VCA3",32,"Sham_Familiar",155.721426554706
"VCA3",40,"Sham_Familiar",259.581177550675
"VCA3",2,"Sham_Novel",281.10289765581
"VCA3",6,"Sham_Novel",142.396868143321
"VCA3",9,"Sham_Novel",260.239425701984
"VCA3",20,"Sham_Novel",81.4909291521187
"VCA3",26,"Sham_Novel",138.415684071777
"VCA3",36,"Sham_Novel",131.36917217386
"VDG",3,"Lesion_Familiar",336.21282323523
"VDG",8,"Lesion_Familiar",227.317144659107
"VDG",13,"Lesion_Familiar",150.933073692002
"VDG",14,"Lesion_Familiar",142.142743958927
"VDG",39,"Lesion_Familiar",291.755380167785
"VDG",1,"Lesion_Novel",260.56887730207
"VDG",5,"Lesion_Novel",187.566742228411
"VDG",10,"Lesion_Novel",223.6606193315
"VDG",19,"Lesion_Novel",140.907060527632
"VDG",28,"Lesion_Novel",333.476048589718
"VDG",34,"Lesion_Novel",96.7538702032495
"VDG",35,"Lesion_Novel",281.054645132333
"VDG",7,"Sham_Familiar",320.491998767702
"VDG",15,"Sham_Familiar",153.505128337536
"VDG",16,"Sham_Familiar",197.124873510421
"VDG",30,"Sham_Familiar",113.900481831078
"VDG",32,"Sham_Familiar",273.102411844069
"VDG",37,"Sham_Familiar",315.272465000933
"VDG",40,"Sham_Familiar",282.670015419055
"VDG",2,"Sham_Novel",367.859688209664
"VDG",6,"Sham_Novel",127.237384729214
"VDG",9,"Sham_Novel",124.187014826765
"VDG",18,"Sham_Novel",837.106227223221
"VDG",20,"Sham_Novel",148.806411289904
"VDG",26,"Sham_Novel",219.922334231602
"VDG",36,"Sham_Novel",208.129392983743
"VOC",8,"Lesion_Familiar",337.393765728764
"VOC",13,"Lesion_Familiar",299.742344032957
"VOC",14,"Lesion_Familiar",394.814760620387
"VOC",22,"Lesion_Familiar",695.636182361907
"VOC",23,"Lesion_Familiar",601.361583184341
"VOC",29,"Lesion_Familiar",459.798233804279
"VOC",31,"Lesion_Familiar",442.863107535007
"VOC",38,"Lesion_Familiar",632.68349698329
"VOC",39,"Lesion_Familiar",807.177093256149
"VOC",1,"Lesion_Novel",265.709044070112
"VOC",5,"Lesion_Novel",465.852851837479
"VOC",10,"Lesion_Novel",296.091939659439
"VOC",11,"Lesion_Novel",1113.90961707258
"VOC",19,"Lesion_Novel",400.310327122987
"VOC",27,"Lesion_Novel",734.746859178826
"VOC",28,"Lesion_Novel",1151.68916442103
"VOC",34,"Lesion_Novel",352.827464962319
"VOC",35,"Lesion_Novel",374.677146953547
"VOC",7,"Sham_Familiar",573.67033046248
"VOC",15,"Sham_Familiar",335.122908538524
"VOC",16,"Sham_Familiar",331.67138928952
"VOC",24,"Sham_Familiar",566.724251885591
"VOC",30,"Sham_Familiar",811.566180409992
"VOC",32,"Sham_Familiar",559.53954371138
"VOC",37,"Sham_Familiar",443.443334573855
"VOC",40,"Sham_Familiar",874.446454008079
"VOC",6,"Sham_Novel",394.024423079602
"VOC",9,"Sham_Novel",463.13174223111
"VOC",12,"Sham_Novel",492.635379761939
"VOC",18,"Sham_Novel",429.298633921975
"VOC",20,"Sham_Novel",364.001221571352
"VOC",25,"Sham_Novel",601.305608476102
"VOC",26,"Sham_Novel",849.127258996129
"VOC",33,"Sham_Novel",410.379370530766
"VOC",36,"Sham_Novel",454.744953034673
"VSUB",3,"Lesion_Familiar",251.034829979965
"VSUB",8,"Lesion_Familiar",219.208730337238
"VSUB",13,"Lesion_Familiar",172.170231177579
"VSUB",29,"Lesion_Familiar",64.8572740162396
"VSUB",31,"Lesion_Familiar",203.911737916116
"VSUB",38,"Lesion_Familiar",342.988012225696
"VSUB",1,"Lesion_Novel",260.18939940509
"VSUB",5,"Lesion_Novel",179.006369140548
"VSUB",10,"Lesion_Novel",275.435971728133
"VSUB",19,"Lesion_Novel",165.847713411968
"VSUB",28,"Lesion_Novel",246.899465634258
"VSUB",34,"Lesion_Novel",167.691623976618
"VSUB",35,"Lesion_Novel",181.578204144482
"VSUB",7,"Sham_Familiar",335.29994933239
"VSUB",15,"Sham_Familiar",171.253918598468
"VSUB",16,"Sham_Familiar",146.253820597942
"VSUB",30,"Sham_Familiar",106.726508863534
"VSUB",32,"Sham_Familiar",162.070178828154
"VSUB",40,"Sham_Familiar",162.481735787029
"VSUB",6,"Sham_Novel",209.922538433284
"VSUB",12,"Sham_Novel",344.508238760797
"VSUB",20,"Sham_Novel",237.090235173357
"VSUB",26,"Sham_Novel",357.007638713297
